"識別碼","filename","unz","imbiau"
167,"blwr00166","卡ve鬱卒","kah7_ve2_ut7_zut7"
168,"blwr00167","加足快活","ge1_zok7_kuinn3_uah6"
169,"blwr00168","兄弟姊妺","hiann1_di2_zi4_muai2"
170,"blwr00169","水落石出","zui4_lorh6_ziorh6_cut7"
171,"blwr00170","日本腦炎","rit6_bun4_nau4_iam2"
172,"blwr00171","天塹水沖","ten1_cam3_zui4_ciang5"
173,"blwr00172","山鵝仔菜","suann1_qia5_a4_cai3"
174,"blwr00173","子丑寅卯","zu4_tiu4_in5_vau4"
175,"blwr00174","下淡水溪","ha2_dam2_zui4_kue1"
176,"blwr00175","三添四ueh","sann1_tiam1_si4_ueh6"
177,"blwr00176","十全十美","sip6_zuan5_sip6_vi4"
178,"blwr00177","八九十pa","beh7_gau4_zap6_pa1"
179,"blwr00178","二月初五","qi2_queh6_ce1_qo2"
180,"blwr00179","一暝之間","zit6_me5_zi1_gan1"
181,"blwr00180","一二十個","it7_qi2_zap6_e5"
182,"blwr00181","pongponging仔","pong3_pong3_ing1_a4"
183,"blwr00182","deh抹頭鬃","deh7_vuah7_tau5_zang1"
184,"blwr00183","capcap伊去","cap7_cap7_i2_ki3"
185,"blwr00184","蠓仔香","vang4_a4_hiunn1"
186,"blwr00185","臊惡氣","cau1_ok7_ki3"
187,"blwr00186","檨仔欉","suinn2_a4_zang5"
188,"blwr00187","檨仔欉","suainn2_a4_zang5"
189,"blwr00188","憨憨seh","qong2_qong2_seh6"
190,"blwr00189","蔘仔腳","som1_a4_ka1"
191,"blwr00190","芎蕉林","gin1_zior1_na5"
192,"blwr00191","尻川癢","ka1_cng1_ziunn2"
193,"blwr00192","尻川癢","ka1_cng1_zionn2"
194,"blwr00193","鑿入去","cak6_rip6_ki3"
195,"blwr00194","躡腳尾","neh7_ka1_vue4"
196,"blwr00195","驚一著","giann1_zit6_dior5"
197,"blwr00196","讀物音","tok6_vut6_im1"
198,"blwr00197","聽會落","tiann1_e2_loh6"
199,"blwr00198","殲滅戰","ciam1_vet6_zen3"
200,"blwr00199","蘇澳港","so1_or3_gang4"
201,"blwr00200","勸學篇","kng3_hak6_pen1"
202,"blwr00201","霧煞煞","vu2_suah7_suah7"
203,"blwr00202","關密密","guainn1_vat6_vat6"
204,"blwr00203","羅布泊","lor5_bo3_pik7"
205,"blwr00204","礙口羞","qai2_kau4_siu1"
206,"blwr00205","爆裂彈","pok6_let6_duann5"
207,"blwr00206","鵝鑾鼻","qor5_luan5_pi2"
208,"blwr00207","顏真卿","qan5_zin1_king1"
209,"blwr00208","藏水vih","cang3_zui4_vih7"
210,"blwr00209","舊皮包","gu2_pe5_bau1"
211,"blwr00210","翹翹板","kiau3_kiau3_ban4"
212,"blwr00211","繞指柔","riau4_zi4_riu5"
213,"blwr00212","繞指柔","qiau4_zi4_qiu5"
214,"blwr00213","鮮鮮鮮","cinn1_cinn1_cinn1"
215,"blwr00214","邁阿密","mai2_a1_vit6"
216,"blwr00215","避難站","piah7_lan2_zam2"
217,"blwr00216","薄薄仔","borh6_borh6_a4"
218,"blwr00217","營業額","ing5_qiap6_qiah6"
219,"blwr00218","擎天柱","kinn5_ten1_tiau2"
220,"blwr00219","壓縮gah","ap7_sok7_gah7"
221,"blwr00220","嚇一下","hannh7_zit6_e2"
222,"blwr00221","鴨嘴獸","ah7_cui3_siu3"
223,"blwr00222","鮑叔牙","bau1_siok7_qa5"
224,"blwr00223","靜脈血","zing2_meh6_hueh7"
225,"blwr00224","閻羅王","qiam5_lor5_ong5"
226,"blwr00225","輸尿管","su1_rior2_gng4"
227,"blwr00226","輸尿管","su1_qior2_gng4"
228,"blwr00227","輻射熱","hok7_sia2_ruah6"
229,"blwr00228","賴賴sor","lua2_lua2_sor5"
230,"blwr00229","蕭伯納","siau1_bik7_lap6"
231,"blwr00230","燃燃熱","ren5_ren5_ret6"
232,"blwr00231","燃燃熱","qen5_qen5_qet6"
233,"blwr00232","駟過隙","su3_gue3_kiah7"
234,"blwr00233","銷金窟","siau1_gim1_kut7"
235,"blwr00234","踢壁邊","tat7_biah7_binn1"
236,"blwr00235","誹謗罪","hui4_bong3_zue2"
237,"blwr00236","歐吉桑","o1_rih7_sang4"
238,"blwr00237","撞破碗","long3_pua3_uann4"
239,"blwr00238","憂結結","iu1_gat7_gat7"
240,"blwr00239","噴噴leh","pun3_pun3_leh7"
241,"blwr00240","儉儉仔","kiam2_kiam2_a4"
242,"blwr00241","領導人","ling4_dor2_rang5"
243,"blwr00242","綿綿綿","mi5_mi5_mi5"
244,"blwr00243","端午節","duan1_ngo4_zeh7"
245,"blwr00244","滿滿滿","mua4_mua4_mua4"
246,"blwr00245","暢咈咈","tiong3_put7_put7"
247,"blwr00246","撇掃帚","pet7_sau3_ciu4"
248,"blwr00247","孵雞卵","bu2_ge1_nng2"
249,"blwr00248","鳩鴿類","gah7_gap7_lui2"
250,"blwr00249","葉黃素","hiorh6_ng5_so3"
251,"blwr00250","葉尼塞","iap6_ni5_sai3"
252,"blwr00251","節目表","zet7_vok6_bior4"
253,"blwr00252","椰子絨","ia5_zi4_riong5"
254,"blwr00253","楚霸王","cor4_ba3_ong5"
255,"blwr00254","斟酌看","zim1_ziok7_kuann3"
256,"blwr00255","惹不得","ria4_but7_dit7"
257,"blwr00256","黃鶴樓","uinn5_horh6_lau5"
258,"blwr00257","雅爾達","nga4_ni4_dat6"
259,"blwr00258","訴訟法","set7_song3_huat7"
260,"blwr00259","絲仔襪","si1_a4_vueh6"
261,"blwr00260","答辯書","dap7_ben2_su1"
262,"blwr00261","硬biangbiang","nge2_biang2_biang2"
263,"blwr00262","短音程","due4_im1_ting5"
264,"blwr00263","渴睡漢","kat7_sue3_han3"
265,"blwr00264","敢m敢","gann4_m2_gann4"
266,"blwr00265","插插插","cah7_cah7_cah7"
267,"blwr00266","掌握著","ziang4_ak7_diorh6"
268,"blwr00267","幾簇仔","gui4_cok7_a4"
269,"blwr00268","媒染劑","mui5_riam4_ze1"
270,"blwr00269","媒人婆","hm5_lang5_bor5"
271,"blwr00270","鳥瞰圖","niau4_kan3_do5"
272,"blwr00271","通脫木","tong1_tuat7_vok6"
273,"blwr00272","第五個","de2_qo2_e5"
274,"blwr00273","產卵管","san4_ruan4_guan4"
275,"blwr00274","甜甜甜","dinn1_dinn1_dinn1"
276,"blwr00275","猛禽類","ming4_kim5_lui2"
277,"blwr00276","涵蓋率","ham5_gai3_lut6"
278,"blwr00277","添油香","tinn1_iu5_hionn1"
279,"blwr00278","梁啟超","niu5_ke4_ciau1"
280,"blwr00279","掖土砂","iah6_to5_sua1"
281,"blwr00280","惜寸陰","siorh7_cun3_im1"
282,"blwr00281","強強veh","qiong2_qiong2_veh7"
283,"blwr00282","屜仔內","tuah7_a4_lai2"
284,"blwr00283","高攀龍","gor1_pan1_liong5"
285,"blwr00284","退水閘","tue3_zui4_zah6"
286,"blwr00285","起衝突","ki4_ciong1_dut6"
287,"blwr00286","起屁面","ki4_pui3_vin2"
288,"blwr00287","衰弱去","suai1_riok6_ki3"
289,"blwr00288","茶心porh","de5_sim1_porh7"
290,"blwr00289","臭腳撐","cau3_ka1_tenn3"
291,"blwr00290","翅楞楞","sit6_qang2_qang2"
292,"blwr00291","缺效犯","kuat7_hau2_huan2"
293,"blwr00292","缺一缺","kih7_zit6_kih7"
294,"blwr00293","烏食烏","o1_ziah6_o1"
295,"blwr00294","消耗品","siau1_honn3_pin4"
296,"blwr00295","哼一聲","hainn1_zit6_siann1"
297,"blwr00296","厝角鳥","cu3_gak7_ziau4"
298,"blwr00297","食肉類","sit6_rok6_lui2"
299,"blwr00298","食ve合","ziah6_ve2_hah6"
300,"blwr00299","約分法","iak7_hun1_huat7"
301,"blwr00300","紅豆餡","ang5_dau2_ann2"
302,"blwr00301","紅白事","ang5_bih6_su2"
303,"blwr00302","紅pahpah","ang5_pah6_pah6"
304,"blwr00303","看會cuai","kuann3_e2_cuai3"
305,"blwr00304","洪澤湖","hong5_dik6_o5"
306,"blwr00305","拾拾去","kiorh7_kiorh7_ki3"
307,"blwr00306","按呢噢","an4_ne1_o3"
308,"blwr00307","按呢sinn","an4_ne1_sinn1"
309,"blwr00308","威士忌","ui1_suh7_gih7"
310,"blwr00309","娃娃生","ua1_ua1_sing1"
311,"blwr00310","咻咻叫","hiu1_hiu1_gior3"
312,"blwr00311","剃嘴鬚","ti3_cui3_ciu1"
313,"blwr00312","青筍筍","cenn1_sun4_sun4"
314,"blwr00313","阿蘭若","a1_lan5_riak6"
315,"blwr00314","阿蘭若","a1_lan5_qiak6"
316,"blwr00315","長耳公","diang5_hinn2_gong1"
317,"blwr00316","金爍爍","gim1_siak7_siak7"
318,"blwr00317","迎媽祖","ngia5_ma4_zo4"
319,"blwr00318","泡泡糖","pau3_pau3_tng5"
320,"blwr00319","旺旺旺","ong2_ong2_ong2"
321,"blwr00320","姑娘仔","go1_niunn5_a4"
322,"blwr00321","垃圾鬼","lah7_sap7_gui4"
323,"blwr00322","垃圾物","la3_sap7_mi4"
324,"blwr00323","乖乖啦","guai1_guai1_la3"
325,"blwr00324","阮媽媽","qun4_ma1_mah7"
326,"blwr00325","車百合","cia1_bah7_hop6"
327,"blwr00326","足可怕","zok7_kor4_pann3"
328,"blwr00327","赤崁樓","ciah7_kam3_lau5"
329,"blwr00328","沒奈何","vuat6_nai2_hor5"
330,"blwr00329","決策人","guat7_cik7_rin5"
331,"blwr00330","吸引力","kip7_in4_lat6"
332,"blwr00331","吞嘴nua","tun1_cui3_nua2"
333,"blwr00332","血玉髓","het7_qik6_cue4"
334,"blwr00333","肉豆蔻","vah7_dau2_kior3"
335,"blwr00334","划龍船","be5_liong5_zun5"
336,"blwr00335","矛盾律","mau5_dun3_lut6"
337,"blwr00336","瓦斯管","qah7_suh7_gong4"
338,"blwr00337","平坦坦","benn5_tann4_tann4"
339,"blwr00338","月曜日","qeh6_iau2_qit6"
340,"blwr00339","日月潭","lit6_quat6_tam5"
341,"blwr00340","口腔癌","kau4_kiunn1_qam5"
342,"blwr00341","入場券","qip6_dionn5_gng3"
343,"blwr00342","九人座","gau4_lang5_re2"
344,"blwr00343","ve過lih","ve2_gue3_lih7"
345,"blwr00344","tolakuh","to1_la1_kuh7"
346,"blwr00345","sasa叫","sa1_sa1_gior3"
347,"blwr00346","sak過去","sak7_gue3_ki3"
348,"blwr00347","puh藥仔","puh6_iorh6_a4"
349,"blwr00348","pihpihcuah","pih6_pih6_cuah7"
350,"blwr00349","piann落來","piann1_lorh6_lai5"
351,"blwr00350","nqua轉來","ngua2_dng4_lai5"
352,"blwr00351","nihnih流","nih7_nih7_lau5"
353,"blwr00352","lalioh","la1_li4_oh7"
354,"blwr00353","kokkokkok","kok6_kok6_kok6"
355,"blwr00354","kiadihia","kia2_di2_hia1"
356,"blwr00355","ho白挾","ho2_beh6_ngeh7"
357,"blwr00356","hip起來","hip7_ki4_lai5"
358,"blwr00357","hiah簡單","hiah7_gan4_dan1"
359,"blwr00358","dioh是講","dioh6_si2_gong4"
360,"blwr00359","cih電鈴","cih6_den2_ling5"
361,"blwr00360","buh出來","buh7_cut7_lai5"
362,"blwr00361","揠苗","at7_viau5"
363,"blwr00362","偓促","ak7_zak7"
364,"blwr00363","鱷魚","qok6_hi5"
365,"blwr00364","蠶妾","tam5_ciap7"
366,"blwr00365","攫奪","giak6_duat6"
367,"blwr00366","襲爵","sit6_ziak7"
368,"blwr00367","藕粉","ngau2_hun4"
369,"blwr00368","疆域","giang1_hik6"
370,"blwr00369","謬論","viu2_lun2"
371,"blwr00370","闊別","kuah7_bet6"
372,"blwr00371","薑母","gionn1_vor4"
373,"blwr00372","澀澀","siap7_siap7"
374,"blwr00373","懦弱","no2_qiok6"
375,"blwr00374","嚇驚","hennh7_giann1"
376,"blwr00375","龍眼","qing5_qing4"
377,"blwr00376","黔突","ken5_tut6"
378,"blwr00377","默默","vik6_vik6"
379,"blwr00378","頻仍","bin5_ring5"
380,"blwr00379","謁歸","et7_gui1"
381,"blwr00380","親像","cin1_cionn2"
382,"blwr00381","曉暢","hiau4_tiang3"
383,"blwr00382","遮護","lia1_ho2"
384,"blwr00383","踏硬","dah6_ngi2"
385,"blwr00384","請寄","ciann4_gia3"
386,"blwr00385","磕頭","kap7_tau5"
387,"blwr00386","盤腿","puan5_tui4"
388,"blwr00387","潤餅","run2_biann4"
389,"blwr00388","澎湃","ping1_pai3"
390,"blwr00389","潑辣","puat7_luah6"
391,"blwr00390","潑出","puah7_cut7"
392,"blwr00391","嘿嘿","heh7_heh7"
393,"blwr00392","齊zann","ze5_zann4"
394,"blwr00393","領帖","nia4_tiap7"
395,"blwr00394","誤謬","qo2_mio2"
396,"blwr00395","蓄銳","hiok7_rue2"
397,"blwr00396","睿哲","lue2_det7"
398,"blwr00397","漆黑","cat7_o1"
399,"blwr00398","滿墘","vuan4_ginn5"
400,"blwr00399","滿滿","muan4_mua4"
401,"blwr00400","摘錄","diah7_lok6"
402,"blwr00401","跨黨","kua3_dong4"
403,"blwr00402","補缺","bo4_kueh7"
404,"blwr00403","腳跡","ka1_riah7"
405,"blwr00404","節日","zueh7_rit6"
406,"blwr00405","斟茶","tin5_de5"
407,"blwr00406","愛tuh","ai3_tuh7"
408,"blwr00407","飯坩","bng2_kann1"
409,"blwr00408","量債","nio5_ze3"
410,"blwr00409","跋扈","bueh6_ho2"
411,"blwr00410","貼切","diap7_cet7"
412,"blwr00411","無他","vu5_ta1"
413,"blwr00412","喜鵲","hi4_ciak7"
414,"blwr00413","割讓","guah7_qiang2"
415,"blwr00414","頂zuah","ding4_zuah6"
416,"blwr00415","通問","tang1_vng2"
417,"blwr00416","彪炳","biu1_bing4"
418,"blwr00417","笠仔","lueh6_a4"
419,"blwr00418","略仔","liorh6_a4"
420,"blwr00419","族民","zok6_min5"
421,"blwr00420","從伯","ziong5_peh7"
422,"blwr00421","偌好","rua2_hor4"
423,"blwr00422","納錢","nap6_zinn5"
424,"blwr00423","真zio","zin1_zio4"
425,"blwr00424","柴屐","ca5_giah6"
426,"blwr00425","恐嚇","kiong4_hat7"
427,"blwr00426","家畜","ga1_tiok7"
428,"blwr00427","埋頭","vai5_tior5"
429,"blwr00428","員外","uan5_que2"
430,"blwr00429","眇眇","miau5_miau5"
431,"blwr00430","相羊","sionn3_ionn5"
432,"blwr00431","炭層","tuann3_zainn5"
433,"blwr00432","流血","lau5_huih7"
434,"blwr00433","歪曲","uai1_kiok7"
435,"blwr00434","怨慼","uan3_cueh7"
436,"blwr00435","怎麼","zom4_moh7"
437,"blwr00436","後魏","hior2_qui2"
438,"blwr00437","削削","siah7_siah7"
439,"blwr00438","阿爹","a1_dia1"
440,"blwr00439","門閂","mng5_cuann3"
441,"blwr00440","肥肥","bui5_bui5"
442,"blwr00441","欣欣","him1_him1"
443,"blwr00442","拆拆","tiah7_tiah7"
444,"blwr00443","怯懦","kiak7_no2"
445,"blwr00444","怯勢","kiap7_si3"
446,"blwr00445","來拾","lai5_kioh7"
447,"blwr00446","乳名","lng1_miann5"
448,"blwr00447","邑邑","ip7_ip7"
449,"blwr00448","忍忍","qim4_qim4"
450,"blwr00449","劫掠","giap7_liak6"
451,"blwr00450","艾艾","ngai2_ngai2"
452,"blwr00451","皮毛","pue5_mong5"
453,"blwr00452","斥斥","tik7_tik7"
454,"blwr00453","可惡","konn4_onn3"
455,"blwr00454","凹鼻","nah7_pinn2"
456,"blwr00455","月娥","qat6_ngo5"
457,"blwr00456","方外","hong1_quai2"
458,"blwr00457","三gauh","sann1_gauh7"
459,"blwr00458","十惡","sip6_ok7"
460,"blwr00459","zatzat","zat7_zat7"
461,"blwr00460","vava","va2_va2"
462,"blwr00461","siunnduh","siunn1_duh7"
463,"blwr00462","sannh心","sannh6_sim1"
464,"blwr00463","qih仔","qih7_a4"
465,"blwr00464","pennpenn","penn2_penn2"
466,"blwr00465","pakpak","pak7_pak7"
467,"blwr00466","om嘴","om1_cui3"
468,"blwr00467","nqiau刺","ngiau4_ci3"
469,"blwr00468","kiukiu","kiu2_kiu2"
470,"blwr00469","kiang腳","kiang3_ka1"
471,"blwr00470","henn啊","henn3_a2"
472,"blwr00471","hannhann","hann5_hann5"
473,"blwr00472","dom頭","dom3_tau5"
474,"blwr00473","diuhdiuh","diuh2_diuh2"
475,"blwr00474","copcop","cop7_cop7"
476,"blwr00475","bua杯","bua2_bue1"
477,"blwr00476","biakbiak","biak6_biak6"
