"識別碼","CHINESE","TAIWANESE","ForPA","TLPA"
54,"一分耕耘,-一分收穫","有燒香有保庇","u2-sier1-hiunn1-u2-ber4-bi3","u7-sio1-hiunn1-u7-po2-pi3"
55,"一分耕耘,-一分收穫","搰力食栗","gut7-lat6-ziah6-lat6","kut4-lat8-ciah8-lat8"
56,"一分耕耘,-一分收穫","貧憚吞瀾","bin5-duann2-tun1-nua2","pin5-tuann7-thun1-nua7"
57,"一反常態","反死","huan4-si4","huan2-si2"
58,"一反常態","反形","huan4-hing5","huan2-hing5"
59,"一反常態","反相","huan4-siang3","huan2-siang3"
60,"一反常態","變相","binn3-siang3","pinn3-siang3"
61,"一天到晚","一工到暗","zit6-gang1-gau3-am3","cit8-kang1-kau3-am3"
62,"一天到晚","一日到暗","zit6-rit6-gau3-am3","cit8-jit8-kau3-am3"
63,"一心一意","一心一意","it7-sim1-it7-i3","it4-sim1-it4-i3"
64,"一心一意","堅心","gen1-sim1","kian1-sim1"
65,"一心二用","一心兩用","zit6-sim1-nng2-iong2","cit8-sim1-nng7-iong7"
66,"一心二用","也欲顧船","ia2-bheh7-go3-zun5","ia7-beh4-koo3-cun5"
67,"一心二用","也欲顧載","ia2-bheh7-go3-zai3","ia7-beh4-koo3-cai3"
68,"一手","一手","it7-ciu4","it4-chiu2"
69,"一手","兩步七仔","nng2-bo2-cit7-a4","nng7-poo7-chit4-a2"
70,"一手","歸手","gui1-ciu4","kui1-chiu2"
71,"一手包辦","一手包辦","zit6-ciu4-bau1-ban2","cit8-chiu2-pau1-pan7"
72,"一手包辦","扛棺柴兼貿哭","gng1-guann1-ca5-giam1-bhau2-kau3","kng1-kuann1-cha5-kiam1-bau7-khau3"
73,"一手包辦","校長兼摃鐘","hau2-diunn4-giam1-gong3-zing1","hau7-tiunn2-kiam1-kong3-cing1"
74,"一手包辦","貿到底","bhau2-gau3-de4","bau7-kau3-te2"
75,"一手包辦","總包","zong4-bau1","cong2-pau1"
76,"一手包辦","總貿","zong4-bhau2","cong2-bau7"
77,"一手包辦","總攬","zong4-lam4","cong2-lam2"
78,"一手包辦","雜差兼管家","zap6-ce1-giam1-guan4-ge1","cap8-che1-kiam1-kuan2-ke1"
79,"一文不名","褲底袋磅子","ko3-de4-de2-bong2-zi4","khoo3-te2-te7-pong7-ci2"
80,"一文不名","斷寸鐵","dng2-cun3-tih7","tng7-chun3-thih4"
81,"一文不名","斷半圓","dng2-buann3-inn5","tng7-puann3-inn5"
82,"一文不名","斷半鮮","dng2-buann3-sen4","tng7-puann3-sian2"
83,"一文不名","橐袋仔袋磅子","lak7-de2-a4-de2-bong2-zi4","lak4-te7-a2-te7-pong7-ci2"
84,"一文不值","毋值三鮮錢","m2-dat6-sann1-sen4-zinn5","m7-tat8-sann1-sian2-cinn5"
85,"一斗米養個恩人,-一石米養個仇人","九頓米糕無上算","gau4-dng3-bhi4-ger1-bher5-ziunn2-sng3","kau2-tng3-bi2-ko1-bo5-ciunn7-sng3"
86,"一斗米養個恩人,-一石米養個仇人","一頓冷糜抾起來囥","zit6-dng3-ling4-mue5-kierh7-ki4-lai5-kng3","cit8-tng3-ling2-mue5-khioh4-khi2-lai5-khng3"
87,"一日三市","一日三行情","zit6-rit6-sann1-hang5-zing5","cit8-jit8-sann1-hang5-cing5"
88,"一日三市","五時做藥","gho2-si5-zer3-ierh6","goo7-si5-co3-ioh8"
89,"一日三市","六時做石","lak6-si5-zer3-zierh6","lak8-si5-co3-cioh8"
90,"一日三餐","逐三頓","dak6-sann1-dng3","tak8-sann1-tng3"
91,"一日不見,-如隔三秋","一日不見如三秋","it7-rit6-but7-gen3-ru5-sam1-ciu1","it4-jit8-put4-kian3-ju5-sam1-chiu1"
92,"一日不見,-如隔三秋","三日不見久溜溜","sann1-rit6-but7-gen3-giu4-liu1-liu1","sann1-jit8-put4-kian3-kiu2-liu1-liu1"
93,"一日打魚,-三日晒網","一日扑鳥","zit6-rit6-pah7-ziau4","cit8-jit8-phah4-ciau2"
94,"一日打魚,-三日晒網","三日挽毛","sann1-rit6-bhan4-mer1","sann1-jit8-ban2-mo1"
95,"一日打魚,-三日晒網","一日討海","zit6-rit6-ter4-hai4","cit8-jit8-tho2-hai2"
96,"一日打魚,-三日晒網","三日曝網","sann1-rit6-pak6-bhang2","sann1-jit8-phak8-bang7"
97,"一日打魚,-三日晒網","一日掠魚","zit6-rit6-liah6-hi5","cit8-jit8-liah8-hi5"
98,"一日打魚,-三日晒網","三日曝網","sann1-rit6-pak6-bhang2","sann1-jit8-phak8-bang7"
99,"一日打魚,-三日晒網","三做四歇","sann1-zer3-si3-hierh7","sann1-co3-si3-hioh4"
100,"一月多","一月外","zit6-ghueh6-ghua2","cit8-gueh8-gua7"
101,"一毛不拔","一e5錢扑廿四e5結","zit6-e5-zinn5-pah7-riap6-si3-e5-gat7","cit8-e5-cinn5-phah4-jiap8-si3-e5-kat4"
102,"一毛不拔","一e5錢扑四e5結","zit6-e5-zinn5-pah7-si3-e5-gat7","cit8-e5-cinn5-phah4-si3-e5-kat4"
103,"一毛不拔","小氣","siau4-ki3","siau2-khi3"
104,"一毛不拔","干礁欲跋棓","gan1-da1-bherh7-buah6-bue1","kan1-ta1-boh4-puah8-pue1"
105,"一毛不拔","毋甘點一枝香","m2-gam1-diam4-zit6-gi1-hiunn1","m7-kam1-tiam2-cit8-ki1-hiunn1"
106,"一毛不拔","鄙厘kiap7屎","bi4-li5-kiap7-sai4","pi2-li5-khiap4-sai2"
107,"一片汪洋","水汪汪流","zui4-lau5","cui2-uang1-uang1-lau5"
108,"一片汪洋","淹滂滂","im1-pong5-pong5","im1-phong5-phong5"
109,"一片汪洋","滿洋直蓋","mua4-iunn5-dit6-gai3","mua2-iunn5-tit8-kai3"
110,"一片狼藉","花花幌幌","hue1-hue1-hinn3-hinn3","hue1-hue1-hinn3-hinn3"
111,"一片狼藉","花施血解","hue1-si1-het7-gai4","hue1-si1-hiat4-kai2"
112,"一片狼藉","荒荒幌幌","hng1-hng1-hinn3-hinn3","hng1-hng1-hinn3-hinn3"
113,"一片狼藉","荒荒廢廢","hng1-hng1-hui3-hui3","hng1-hng1-hui3-hui3"
114,"一片狼藉","散掖掖","suann3-ia2-ia2","suann3-ia7-ia7"
115,"一片狼藉","散滂滂","suann3-pong4-pong4","suann3-phong2-phong2"
116,"一片狼藉","散翸翸","suann3-pun4-pun4","suann3-phun2-phun2"
117,"一片狼藉","鬍叉叉","ho5-ce1-ce1","hoo5-che1-che1"
118,"一片狼藉","鬍屑屑","ho5-sap6-sap6","hoo5-sap8-sap8"
119,"一片狼藉","鬍爁喢","ho5-na3-sannh7","hoo5-na3-sannh4"
120,"一片零亂","散掖掖","suann3-ia2-ia2","suann3-ia7-ia7"
121,"一牙","一眉仔","zit6-bhai5-a4","cit8-bai5-a2"
122,"一犬吠影,-眾犬吠聲","一人傳虛","zit6-lang5-tuan5-hi1","cit8-lang5-thuan5-hi1"
123,"一犬吠影,-眾犬吠聲","百人傳實","bah7-lang5-tuan5-sit6","pah4-lang5-thuan5-sit8"
124,"一犬吠影,-眾犬吠聲","一犬吠影","it7-ken4-bui2-iann4","it4-khian2-pui7-iann2"
125,"一犬吠影,-眾犬吠聲","百犬吠聲","bah7-ken4-bui2-siann1","pah4-khian2-pui7-siann1"
126,"一犬吠影,-眾犬吠聲","庄頭掠豬","zng1-tau5-liah6-di1","cng1-thau5-liah8-ti1"
127,"一犬吠影,-眾犬吠聲","庄尾狗參得吠","zng1-bhue4-gau4-cam1-dit7-bui2","cng1-bue2-kau2-cham1-tit4-pui7"
128,"一丘之貉","七也八也","cit7-a2-beh7-a2","chit4-a7-peh4-a7"
129,"一丘之貉","蛇孔透老鼠仔岫","zua5-kang1-tau3-niau4-ci4-a4-siu2","cua5-khang1-thau3-niau2-chi2-a2-siu7"
130,"一以貫之","一理通","it7-li4-tong1","it4-li2-thong1"
131,"一以貫之","萬理徹","bhan2-li4-tet7","ban7-li2-thiat4"
132,"一去不返","一去不回頭","it7-ki3-but7-hue5-tau5","it4-khi3-put4-hue5-thau5"
133,"一句話也不會講","一句講都袂曉話","zit6-gu3-gong4-der1-bhe2-hiau4-ue2","cit8-ku3-kong2-to1-be7-hiau2-ue7"
134,"一平如鏡","平幼幼","benn5-iu3-iu3","penn5-iu3-iu3"
135,"一平如鏡","平坦坦","benn5-tann4-tann4","penn5-thann2-thann2"
136,"一本萬利","一本萬利","it7-bun4-bhan2-li2","it4-pun2-ban7-li7"
137,"一生","一世人","zit6-si3-lang5","cit8-si3-lang5"
138,"一生","一生","it7-sing1","it4-sing1"
139,"一生","透世人","tau3-si3-lang5","thau3-si3-lang5"
140,"一生","歸世人","gui1-si3-lang5","kui1-si3-lang5"
141,"一白遮百醜","一白蔭九赤","zit6-beh6-im3-gau4-ciah7","cit8-peh8-im3-kau2-chiah4"
142,"一目了然","一目了然","it7-bhok6-liau4-ren5","it4-bok8-liau2-jian5"
143,"一目了然","看出出","kuann3-cut7-cut7","khuann3-chut4-chut4"
144,"一目了然","看見見","kuann3-ginn3-ginn3","khuann3-kinn3-kinn3"
145,"一目了然","看現現","kuann3-hen2-hen2","khuann3-hian7-hian7"
146,"一目了然","缺喙食米粉","kih7-cui3-ziah6-bhi4-hun4","khih4-chui3-ciah8-bi2-hun2"
147,"一目了然","看現現","kuann3-hen2-hen2","khuann3-hian7-hian7"
148,"一石二鳥","一孔掠雙隻","zit6-kang1-liah6-siang1-ziah7","cit8-khang1-liah8-siang1-ciah4"
149,"一石二鳥","一兼二顧","it7-giam1-ri2-go3","it4-kiam1-ji7-koo3"
150,"一石二鳥","摸蜊仔兼洗褲","bhong1-la5-a4-giam1-se4-ko3","bong1-la5-a2-kiam1-se2-khoo3"
151,"一石二鳥","一餌釣雙魚","zit6-ri2-dier3-siang1-hi5","cit8-ji7-tio3-siang1-hi5"
152,"一石二鳥","一舉兩得","it7-gi4-liang4-dit7","it4-ki2-liang2-tit4"
153,"一件","一件","zit6-giann2","cit8-kiann7"
154,"一件","一領","zit6-nia4","cit8-nia2"
155,"一件衣服打到底","娶某嘛這身","cua2-bho4-ma2-zit7-sin1","chua7-boo2-ma7-cit4-sin1"
156,"一件衣服打到底","拜佛嘛這身","bai3-but6-ma2-zit7-sin1","pai3-put8-ma7-cit4-sin1"
157,"一件衣服打到底","tai5狗嘛這軀","tai5-gau4-ma2-zit7-su1","thai5-kau2-ma7-cit4-su1"
158,"一件衣服打到底","做醮嘛這軀","zer3-zier3-ma2-zit7-su1","co3-cio3-ma7-cit4-su1"
159,"一共","攏總","long4-zong4","long2-cong2"
160,"一再","一擺閣一擺","zit6-bai4-gerh7-zit6-bai4","cit8-pai2-koh4-cit8-pai2"
161,"一同","同齊","dang5-ze5","tang5-ce5"
162,"一向","一向","it7-hiong3","it4-hiong3"
163,"一向","在來","zai2-lai5","cai7-lai5"
164,"一向","透底","tau3-due4","thau3-tue2"
165,"一回","一透","zit6-tau3","cit8-thau3"
166,"一死百了","一死百了","it7-su4-bik7-liau4","it4-su2-pik4-liau2"
167,"一死百了","怨生無怨死","uan3-senn1-bher5-uan3-si4","uan3-senn1-bo5-uan3-si2"
168,"一死百了","過了身","gue3-liau4-sin1","kue3-liau2-sin1"
169,"一死百了","過了代","gue3-liau4-dai2","kue3-liau2-tai7"
170,"一帆風順","一片帆","zit6-pinn3-pang5","cit8-phinn3-phang5"
171,"一帆風順","一帆風順","it7-pang5-hong1-sun2","it4-phang5-hong1-sun7"
172,"一并","做一下","zer3-zit6-e2","co3-cit8-e7"
173,"一年八節","是年八節","si2-ni5-beh7-zet7","si7-ni5-peh4-ciat4"
174,"一年大,-二年小","食老老番癲","ziah6-lau2-lau2-huan1-den1","ciah8-lau7-lau7-huan1-tian1"
175,"一年不如一年","草地鑼鼓","cau4-de2-ler5-go4","chau2-te7-lo5-koo2"
176,"一年不如一年","一冬一冬慘","zit6-dang1-zit6-dang1-cam4","cit8-tang1-cit8-tang1-cham2"
177,"一年到頭","一年透冬","zit6-ni5-tau3-dang1","cit8-ni5-thau3-tang1"
178,"一年到頭","一年迵天","zit6-ni5-tang3-tinn1","cit8-ni5-thang3-thinn1"
179,"一年到頭","年頭到年尾","ni5-tau5-gau3-ni5-bhue4","ni5-thau5-kau3-ni5-bue2"
180,"一年到頭","長年迵天","dng5-ni5-tang3-tinn1","tng5-ni5-thang3-thinn1"
181,"一年到頭","歸年迵天","gui1-ni5-tang3-tinn1","kui1-ni5-thang3-thinn1"
182,"一成不變","狗食秫米","gau4-ziah6-zut6-bhi4","kau2-ciah8-cut8-bi2"
183,"一成不變","死無變","si4-bher5-ben3","si2-bo5-pian3"
184,"一成不變","原原照舊","ghuan5-ghuan5-ziau3-gu2","guan5-guan5-ciau3-ku7"
185,"一成不變","袂變竅","bhe2-ben3-kiau3","be7-pian3-khiau3"
186,"一成不變","無變竅","bher5-ben3-kiau3","bo5-pian3-khiau3"
187,"一早","透早","tau3-za4","thau3-ca2"
188,"一次","一斗","zit6-dau4","cit8-tau2"
189,"一次","一透","zit6-tau3","cit8-thau3"
190,"一次","一擺","zit6-bai4","cit8-pai2"
191,"一次兩次","一過半過","zit6-gue3-buann3-gue3","cit8-kue3-puann3-kue3"
192,"一次兩次","一擺半擺","zit6-bai4-buann3-bai4","cit8-pai2-puann3-pai2"
193,"一百零一件衣服","tai5狗嘛這軀","tai5-gau4-ma2-zit7-su1","thai5-kau2-ma7-cit4-su1"
194,"一百零一件衣服","做醮嘛這軀","zer3-zier3-ma2-zit7-su1","co3-cio3-ma7-cit4-su1"
195,"一而再,-再而三","一擺閣一擺","zit6-bai4-gerh7-zit6-bai4","cit8-pai2-koh4-cit8-pai2"
196,"一而再,-再而三","再三再四","zai3-sann1-zai3-si3","cai3-sann1-cai3-si3"
197,"一色","一色","it7-sik7","it4-sik4"
198,"一色","專色","zuan1-sik7","cuan1-sik4"
199,"一行","一行","zit6-giann5","cit8-kiann5"
200,"一行","一逝","zit6-zua2","cit8-cua7"
201,"一串紅","一串紅","it7-cuan3-hong5","it4-chuan3-hong5"
202,"一局錯,-全盤皆非","一步差","zit6-bo2-ca1","cit8-poo7-cha1"
203,"一局錯,-全盤皆非","步步差","bo2-bo2-ca1","poo7-poo7-cha1"
204,"一局錯,-全盤皆非","一言不中","it7-ghen5-but7-diong3","it4-gian5-put4-tiong3"
205,"一局錯,-全盤皆非","千言無用","cen1-ghen5-bhu5-iong2","chian1-gian5-bu5-iong7"
206,"一局錯,-全盤皆非","一枝搖","zit6-gi1-ier5","cit8-ki1-io5"
207,"一局錯,-全盤皆非","百葉動","bah7-hierh6-dang2","pah4-hioh8-tang7"
208,"一技之長","一步取","zit6-bo2-cu4","cit8-poo7-chu2"
209,"一把手","頭手","tau5-ciu4","thau5-chiu2"
210,"一把抓","一把抓","it7-ba4-zua1","it4-pa2-cua1"
211,"一把抓","總攏","zong4-lang4","cong2-lang2"
212,"一把抓","總攬","zong4-lam4","cong2-lam2"
213,"一把抓","總搦","zong4-lak6","cong2-lak8"
214,"一把抓","歸碗捧","gui1-uann4-pang5","kui1-uann2-phang5"
215,"一把屎,-一把尿","lak6屎lak6尿","lak6-sai4-lak6-rier2","lak8-sai2-lak8-jio7"
216,"一把鼻涕一把淚","目屎四淋垂","bhak6-sai4-si3-lam5-sui5","bak8-sai2-si3-lam5-sui5"
217,"一把鼻涕一把淚","目屎流","bhak6-sai4-lau5","bak8-sai2-lau5"
218,"一把鼻涕一把淚","目屎滴","bhak6-sai4-dih7","bak8-sai2-tih4"
219,"一把鼻涕一把淚","鼻流沓滴","pinn2-lau5-dap6-dih7","phinn7-lau5-tap8-tih4"
220,"一步登天","一步登天","it7-bo2-ding1-ten1","it4-poo7-ting1-thian1"
221,"一步登天","一步beh7上天","zit6-bo2-beh7-ziunn2-tinn1","cit8-poo7-peh4-ciunn7-thinn1"
222,"一步登天","未上三寸水","bhue2-ziunn2-sann1-cun3-zui4","bue7-ciunn7-sann1-chun3-cui2"
223,"一步登天","著欲扒龍船","dierh6-bheh7-be5-liong5-zun5","tioh8-beh4-pe5-liong5-cun5"
224,"一步登天","未食三年仙屎著欲上西天","bhue2-ziah6-sann1-ni5-sen1-sai4-dierh6-bheh7-ziunn2-se1-tinn1","bue7-ciah8-sann1-ni5-sian1-sai2-tioh8-beh4-ciunn7-se1-thinn1"
225,"一步登天","未曾學行著欲學飛","bhue2-zing5-erh6-giann5-dierh6-bheh7-erh6-bue1","bue7-cing5-oh8-kiann5-tioh8-beh4-oh8-pue1"
226,"一步登天","食無三把蕹菜著欲上西天","ziah6-bher5-sann1-be4-ing3-cai3-dierh6-bheh7-ziunn2-se1-tinn1","ciah8-bo5-sann1-pe2-ing3-chai3-tioh8-beh4-ciunn7-se1-thinn1"
227,"一步登天","食無三塊豆干著欲上西天","ziah6-bher5-sann1-de3-dau2-guann1-dierh6-bheh7-ziunn2-se1-tinn1","ciah8-bo5-sann1-te3-tau7-kuann1-tioh8-beh4-ciunn7-se1-thinn1"
228,"一步登天","抾無三門墓","kierh7-bher5-sann1-bhun5-bhong2","khioh4-bo5-sann1-bun5-bong7"
229,"一步登天","著想欲做土公","dierh6-siunn2-bheh7-zer3-to4-gong1","tioh8-siunn7-beh4-co3-thoo2-kong1"
230,"一決生死","存生死","cun5-senn1-si4","chun5-senn1-si2"
231,"一決生死","見生死","ginn3-senn1-si4","kinn3-senn1-si2"
232,"一決生死","拚生死","biann3-senn1-si4","piann3-senn1-si2"
233,"一決高下","拚一e5峘低","biann3-zit6-e5-guan5-ge2","piann3-cit8-e5-kuan5-ke7"
234,"一決勝負","拚輸贏","biann3-su1-iann5","piann3-su1-iann5"
235,"一決雌雄","一決雌雄","it7-guat7-cu1-hiong5","it4-kuat4-chu1-hiong5"
236,"一決雌雄","比一下輸贏","bi4-zit6-e2-su1-iann5","pi2-cit8-e7-su1-iann5"
237,"一決雌雄","王見現","ong5-gen3-hen2","ong5-kian3-hian7"
238,"一決雌雄","見公母","ginn3-gang1-bher4","kinn3-kang1-bo2"
239,"一決雌雄","見輸贏","ginn3-su1-iann5","kinn3-su1-iann5"
240,"一決雌雄","拚一e5公母","biann3-zit6-e5-gang1-bher4","piann3-cit8-e5-kang1-bo2"
241,"一決雌雄","拚一e5厚薄","biann3-zit6-e5-gau2-berh6","piann3-cit8-e5-kau7-poh8"
242,"一決雌雄","拚厚薄","biann3-gau2-berh6","piann3-kau7-poh8"
243,"一決雌雄","拚輸贏","biann3-su1-iann5","piann3-su1-iann5"
244,"一決雌雄","看是欲死豬哥抑死豬母","kuann3-si2-bhueh7-si4-di1-ger1-iah6-si4-di1-bher4","khuann3-si7-bueh4-si2-ti1-ko1-iah8-si2-ti1-bo2"
245,"一肚子火","一腹火","zit6-bak7-hue4","cit8-pak4-hue2"
246,"一肚子火","歸腹火","gui1-bak7-hue4","kui1-pak4-hue2"
247,"一肚子氣","氣痛忍","ki3-tiong3-lun4","khi3-thiong3-lun2"
248,"一肚子氣","氣腸氣肚","ki3-dng5-ki3-do2","khi3-tng5-khi3-too7"
249,"一肚子鬼","大心思","dua2-sim1-su2","tua7-sim1-su7"
250,"一肚子鬼","歹肚桶","painn4-do2-tang4","phainn2-too7-thang2"
251,"一肚子鬼","厚心思","gau2-sim1-su2","kau7-sim1-su7"
252,"一肚子鬼","腹肚內裼裼鬼","bak7-do4-lai2-teh7-teh7-gui4","pak4-too2-lai7-theh4-theh4-kui2"
253,"一肚子鬼","褲跤全是鬼","ko3-ka1-zuan5-si2-gui4","khoo3-kha1-cuan5-si7-kui2"
254,"一言九鼎","喝水會堅凍","huah7-zui4-e2-gen1-dang5","huah4-cui2-e7-kian1-tang5"
255,"一言九鼎","講話有力頭","gong4-ue2-u2-lat6-tau5","kong2-ue7-u7-lat8-thau5"
256,"一言以蔽之","總講一句","zong4-gong4-zit6-gu3","cong2-kong2-cit8-ku3"
257,"一言既出,-駟馬難追","一言既出","it7-ghen5-gi3-cut7","it4-gian5-ki3-chut4"
258,"一言既出,-駟馬難追","駟馬難追","su3-ma4-lan5-dui1","su3-ma2-lan5-tui1"
259,"一言既出,-駟馬難追","話講會得出","ue2-gong4-e2-dit7-cut7","ue7-kong2-e7-tit4-chut4"
260,"一言既出,-駟馬難追","收袂得入","siu1-bhe2-dit7-rip6","siu1-be7-tit4-jip8"
261,"一身上下","一身頂下","zit6-sin1-ding4-e2","cit8-sin1-ting2-e7"
262,"一身上下","一身頭尾","zit6-sin1-tau5-bhue4","cit8-sin1-thau5-bue2"
263,"一身是膽","獅刀魚無腸無肚","sai1-der1-hi5-bher5-dng5-bher5-do2","sai1-to1-hi5-bo5-tng5-bo5-too7"
264,"一身是膽","全食一把膽","zuan5-ziah6-zit6-be4-dann4","cuan5-ciah8-cit8-pe2-tann2"
265,"一身輕","跤凋手凋","ka1-da1-ciu4-da1","kha1-ta1-chiu2-ta1"
266,"一身輕","跤鬆手弄","ka1-sang1-ciu4-lang2","kha1-sang1-chiu2-lang7"
267,"一事無成","十做九不成","zap6-zer3-gau4-but7-sing5","cap8-co3-kau2-put4-sing5"
268,"一些","一屑仔","zit6-sut7-a4","cit8-sut4-a2"
269,"一些","一寡仔","zit6-gua4-a4","cit8-kua2-a2"
270,"一些","淡薄仔","dam2-berh6-a4","tam7-poh8-a2"
271,"一兩天","一半工","zit6-buann3-gang1","cit8-puann3-kang1"
272,"一兩天","一兩工","zit6-nng2-gang1","cit8-nng7-kang1"
273,"一刻都不得閒","無時閒","bher5-si5-ing5","bo5-si5-ing5"
274,"一刻都停不下來","無時停","bher5-si5-ting5","bo5-si5-thing5"
275,"一刻都閒不下來","無時閒","bher5-si5-ing5","bo5-si5-ing5"
276,"一味","一味","it7-bhi2","it4-bi7"
277,"一味","直透","dit6-tau3","tit8-thau3"
278,"一味","唯是","bhi2-si2","bi7-si7"
279,"一味","執一","zip7-it7","cip4-it4"
280,"一味嫌棄","嫌唯是","hiam5-bhi2-si2","hiam5-bi7-si7"
281,"一味稱讚","呵咾唯是","er1-ler4-bhi2-si2","o1-lo2-bi7-si7"
282,"一定","一定","it7-ding2","it4-ting7"
283,"一定","包穩","bau1-un4","pau1-un2"
284,"一定","在水","zai2-zui4","cai7-cui2"
285,"一定","決定","guat7-ding2","kuat4-ting7"
286,"一定","定規","ding2-gui1","ting7-kui1"
287,"一定","定著","diann2-dierh6","tiann7-tioh8"
288,"一定","的確","dik7-kak7","tik4-khak4"
289,"一定","常在","cing5-cai2","ching5-chai7"
290,"一定","硬額","ngi2-ghiah6","ngi7-giah8"
291,"一定","絕對","zuat6-dui3","cuat8-tui3"
292,"一定","準定","zun4-diann2","cun2-tiann7"
293,"一定","確定","kak7-ding2","khak4-ting7"
294,"一定","穩當","un4-dang3","un2-tang3"
295,"一拍兩散","轉去食家己","dng4-ki3-ziah6-ga1-gi2","tng2-khi3-ciah8-ka1-ki7"
296,"一拖再拖","三遷四遷","sann1-cen5-si3-cen5","sann1-chian5-si3-chian5"
