"國語漢字","台語拼音","國語注釋"
"無的放矢","bhu2-dik1-hong4-si4","盲目亂言、亂行動。"
"一二三","it1-ri3-sam1",
"第一","de3-it2",
"十一","zap3-it2","又音（sip3-it2）。"
"一概","it1-kai3","全部。"
"一流","it1-liu5","最高級、頭等。"
"一律","it1-lut1","沒例外。"
"一般","it1-buann1","同樣、普通。"
"一生","it1-sing1","從生到死。"
"一時","it1-si5","又語音（zit3-si5），暫時。"
"一心一意","it1-sim1-it1-i3","專心致意，全心全意。"
"一成不變","it1-sing5-but1-ben3","一旦形成永不改變。"
"一旦","it1-dan3","有一天。"
"一帶","it1-dai3","指某處及其附近。"
"一動不如一靜","it1-dong2-but1-(ru5/lu5)-it1-zing2","與其變動不如靜止。"
"一陣風一陣雨","it1-din3-hong1-it1-din3-u4","口語音（zit3-zun3-hong1-zit3-zun3-ho2）。"
"一切如常","it1-ce3-(ru2/lu2)-siong5",
"一倍","zit3-bue2",
"一點仔","zit3-diam1-a4","一丁點。"
"一寡仔","zit3-gua1-a4","一些，又“一屑仔”（zit3-sut1-a4）。"
"一代","zit3-dai2","又讀〈zit3-de2〉"
"一面…一面…","zit3-bhin2-zit3-bhin2","一邊…而又一邊。"
"一去無回頭","zit3-ki3-bhor2-hue2-tau5",
"一路平安","zit3-lo2-bing2-an1",
"一下仔","zit3-e2-a4","一下子。"
"一時","zit3-si5","又讀（it1-si5）“一時一刻”（it1-si2-it1-kik2）緊急也。"
"一目仔","zit3-bhak3-nih1-a4","轉瞬之間。"
"～一下～","zit3-e3","～一下，如“來一下”（lai5-zit3-e3）。"
"一下","zit3-e2","一…就…，如“一下來就受氣”（zit3-e3-lai5-ziu3-siu3-ki3）一來就生氣。"
"一半","zit3-buann3","一半。"
"一部分","zit3-bo3-hun2",
"一絲仔","zit3-si2-a4","若干（很少）。"
"一時仔","zit3-si2-a4","片刻。如“無一時仔閑”（bhor2-zit3-si2-a1-ing5）沒片刻的閒暇。"
"一屑仔","zit3-sut1-a4","一點點。“食一屑仔”吃一點兒，“一屑仔互我”給我一點兒。"
"一霎久仔","zit3-diap1-gu1-a4","一瞬間。"
"一無是處","it1-bhu5-si3-cu3","樣樣不對、不好。"
"是非題","si3-hui2-de5","是與非的試題。"
"似是而非","su4-si2-ri2-hui1","表面相似，實際不然。"
"可是","kor1-si2","台語說（m3-gorh1）"
"但是","dan3-si2","台語說（but1-gor3）"
"毋是","m3-si2","不是。“不是”（but1-si2）則為犯錯，過失。"
"這是啥？","ze1-si3-siann4","這是什麼？"
"是〔抑〕毋是？","si2-(ah2/iah2)-m3-si2","是（或）不是？"
"着是","diorh3-si2","就是（ziu3-si2）。"
"在在","zai3-zai2","沈着之意。如“老神在在”（lau3-sin5-zai3-zai2）老經驗遇事沈着不慌。"
"在學","zai3-hak1","求學中。"
"在世","zai3-se3","活着。"
"在野","zai3-ia4","不做官。"
"在來","zai3-lai5","向來。“在來米”（zai3-lai2-bhi4）在來品種的米。"
"在人","zai3-lang5","各自的。“空氣在人激的”（ko2ng-ki3-za3i-la2ng-gik2-e0）要怎麼做各人的自由。“在人合意的”（zai3-lang2-gah1-i3-e0）各人所喜愛的。又說“隨在人…”（sui2-zai3-lang2…）任由各人…。"
"在位","zai3-ui2","指居帝王之地位。"
"在座","zai3-zor2","在席位上。"
"在所不惜","zai3-so1-but1-siorh2","毫不吝惜不予保惜。"
"隨在","sui2-zai2","任由，跟“據在”（gu4-zai2）意思一樣。“據在伊去”（gu4-zai3-i2-ki3）任由他（她）不管。"
"自由自在","zu3-iu2-zu3-zai2",
"存在","zun2-zai2","沒消失。"
"在佛公","cai3-but3-gong1","呆然坐（立）如佛像。"
"在咧毋振動","cai2-le0-m3-din1-dang2","坐（站）着不動。"
"在在坐","cai3-cai3-ze2","安放地坐着不動。"
"在二九暝","di3-ri3-gau1-(mi5/me5)","在除夕的晚上。"
"在今年","di3-gin2-ni5",
"在外口","di3-ghua3-kau4","在外頭。"
"在暗頭仔的時陣","di3-am4-tau2-a4-e2-si2-zun2","在傍晚的時候。"
"在厝裡","di3-cu3-lin3","在家裡。"
"在台北","di3-dai2-bak2",
"在車頭","di3-cia2-tau5","在車站。"
"在樹仔腳","di3-ciu2-a1-ka1","在樹下。"
"在車頭相等","(dua4/dam4/diam4)-cia2-tau5-sior2-dan4","在車站互相等候（此處“在”讀di2亦可以）。"
"睏在何位","kun4-di3-dor1-ui2","睡在哪？"
"汝在彼","li1-di3-hia1","你在那兒，“我在此”（ghua1-di3-zia1）我在這兒，“徛在彼”（kia3-di3-hia1）住在那兒，又站在那兒。"
"伊在看冊","i2-deh1-kuann4-ceh2","他（她）正在看書。"
"汝在創啥？","li1-deh1-cong4-siann4","你在幹什麼？"
"徛在看","kia3-deh1-kuann3","站着看。"
"不安","but1-an1","不安寧。“心神不安”（sim2-sin5-but1-an1）。"
"不比","but1-bi4","比不上。"
"不便","but1-ben2","不方便。"
"不但","but1-dan3","不只。"
"不斷","but1-duan2","不間斷。"
"不法","but1-huat2","違法。"
"不服","but1-hok1","不服氣。"
"不可","but1-kor4","不可以。"
"不良","but1-liong5","不好。"
"不時","but1-si5","隨時。"
"不是","but1-si2","過失。"
"不一","but1-it2","不相同，“不一而足”（but1-it2-ri2-ziok2）不少也，不只一次，不只一種。"
"不得了","but1-dik1-liau4","厲害，了不起。"
"不過","but1-gor3","但是、總之、～而已。“會使看，不過，-(bhe/bhue)-使摸”（e3-sai1-kuann3,but-gor3,bhue3-sai1-bhong1）可以看，但是，不可以摸。"
"不管時","but1-guan1-si5","任何時候。"
"不得已","but1-dik1-i4","無可奈何，口語說“bhor2-da2-ua5”。"
"不懂","but1-dong4","不正經、愚庸。。"
"不動產","but1-dong3-san4","固定資產。"
"不動聲色","but1-dong3-siann2-sik2","完全沒有動作，沒表態。"
"不接一","but1-ziap1-it2","間斷不繼。"
"不得不失","but1-dik1-but1-sit2","待人不特別好也不怎麼差，同“無＜bhor2＞得無失”，也有不痛不癢的意思。"
"不死鬼","but1-su1-gui4","醜穢的形態，喻行為不正經，尤為女子責男子對女性亂來的言行。"
"不是","m3-si2","應作“毋是”；不是、不對。"
"不知","m3-zai1","不知道。"
"不着","m3-diorh1","不對。"
"不愛","m3-ai3","不要，又寫成“-mai-”（mai3）是兩音節的合音。"
"不但","m3-na2-m3-nia2","文言音如上；不僅。"
"不通","m3-tang1","意為不可以，文言音為（but1-tong1）。"
"不限定","m3-han3-diann2","不僅僅。"
"食了","ziah3-liau4","吃完。"
"食了嘍","ziah3-liau4-lo0","吃完囉。"
"了錢","liau1-zinn5","虧了錢。"
"了工","liau1-gang1","花工夫。"
"了後","liau1-au2","之後、後來。"
"了然","liau1-len5","對不如意的事失望而看得開，如“伊毋讀冊、實在足了然”（i2-m3-tak3-ceh2、sit3-zai2-ziok1-liau1-rian5）他（她）不讀書，真是使人失望（看破）。"
"了解〔瞭解〕","liau1-gai4","徹底明白。"
"了不得","liau1-but1-dik2","充其量、頂多是。又有“不得了”的意思，兩種語義，用法均借自華語。"
"了了","liau1-liau4","完、盡，盡是，“賣了了”（bhe3-liau1-liau4）全部賣光，“街仔路人了了”（ge2-a1-lo2-lang5-liau1-liau4）街上全是人。"
"有志","iu1-zi3","有志向，抱負。“有志一同”（iu1-zi3-it1-dong5）。"
"有望","iu1-bhong2","亦讀白話音（u3-bhang2）有希望。"
"有益","iu1-ik2","有好處。"
"有孝","iu1-hau3","亦讀白話音（u3-hau3）孝順的。"
"有期徒刑","iu1-gi2-do2-hing5",
"有始有終","iu1-si4-iu1-ziong1",
"有可無不可","iu1-kor4-bhor2-but1-kor4","無疑地是好的。"
"國有","gok1-iu4","國家所有的。"
"私有","su2-iu4","私人所有的。"
"所有","so1-(iu4/u2)","領有、持有一切。"
"共有","giong3-iu4","大家共同有的。"
"自有","zu3-iu4","“汝免煩惱、我自有拍算”（li1-bhian1-huan2-lor4、ghua-zu3-iu4-pah1-sng3）你不必操心，我自然有打算。"
"有的無的","u2-e0-bhor5-e0","不重要的事物，如“有的無的講一大堆”-（u2-e0-bhor5-e0-gong1-zit3-dua3-dui1）說了一大堆無聊的話。"
"有錢","u3-zinn5","台語說（hor1-ghiah1）。"
"有閑","u3-ing5","有空，有工夫兒。"
"有法得","u3-huat1-dit2","做得到。"
"有法度","u3-huat1-do2","辦得到，“有法度就來”（u3-huat1-do2-ziu3-lai5）。"
"有夠","u3-gau3","足夠。"
"有人緣","u3-lang2-en5","人緣好。"
"有路用","u3-lo3-(iong2/ing2)","有用處。"
"有名","u3-mia5","非常出名。"
"有身〔娠〕","u3-sin1","懷孕。"
"有當〔凍〕","u3-dang3","能夠…，如“有當食有當睏”（u3-dang4-ziah、u3-dang4-kun3）有得吃、有得睡。"
"有當時仔","u3-dang2-si2-a4","有的時候，偶爾。"
"有趁無趁啉淡薄","u3-tan3-bhor2-tan3-lim1-dam3-borh2","賺不賺錢都該喝一點兒，“趁”即“趁錢”、“趁食”賺錢、謀生。"
"和睦","hor2-bhok1","親愛和諧。"
"和好","hor2-hor4","互相親睦。"
"和解","hor2-gai4","和平解決紛爭。"
"和氣","hor2-ki3","溫和的態度。"
"和平","hor2-ping5","溫和。"
"無和","bhor2-hor5","不符、不合作。"
"-(bhe/bhue)-和","bhue3-hor5","划不來、不合作，“算-(bhe/bhue)-和”（sng4-bhue3-hor5）不合算。"
"合和","hap3-hor5","協力合作。"
"和尚","he2-(siunn2/sionn2)","或作hue2-siunn2"
"燒有較和啦","sior1-u3-kah1-hue5-la0","熱度有降下來了。"
"人民","rin2-bhin5","國家的成員。"
"人物","rin2-bhut1","人跟物、又指人。"
"人情","rin2-zing5","人的情分。"
"人造","rin2-zor2","人力所為，不是自然成立的。"
"人工","rin2-gang1","全用人力做的。"
"人格","rin2-geh2","人品。"
"人權","rin2-(guan5/kuan5)","人的權利。"
"人類","rin2-lui2","泛指人。"
"人生","rin2-sing1","人的一生。"
"人蔘","rin2-(som1/sim1)","口語又說“高麗”（gor2-le5）。"
"人中","rin2-diong1","鼻子跟上唇之間的凹溝。"
"人世","rin2-se3","人間，世間。"
"文人","bhun2-rin5","讀書人。"
"日人","rit3-rin5","日本人。"
"婦人","hu3-rin5","、〈夫人hu2-rin5〉已婚女性。"
"夫人","hu2-rin5","已婚女性。"
"貴人","gui4-rin5","救星，如“汝有貴人”（li1-u3-gui4-rin5）你會有救星護身，又高貴的人，“伊是一個貴人”（i2-si3-zit3-e2-gui4-rin5）。"
"人馬","lang2-bhe4","文言音為（rin2-ma4）。"
"人材","lang2-(zai5/rin2)-zai5","人才。"
"人影","lang2-iann4","人的形像。"
"人客","lang2-keh2","客人。"
"人頭","lang2-tau5","人的頭顱。"
"人數","(lang2/rin2)-so3","人的數目。"
"好人","hor1-lang5",
"日本人","rit3-bun1-lang5",
"好額人","hor1-ghiah3-lang5","有錢人家，“好額”又作“好業”。"
"艱苦人","gan2-ko1-lang5","窮苦人，又說“散赤人”（san4-ciah1-lang5）。"
"做穡人","zor4-sit1-lang5","種田的人。"
"食頭路人","ziah3-tau2-lo3-lang5","上班領薪水的人。"
"討海人","tor1-hai1-lang5","漁夫，又說“掠魚的人”（liah3-hi5-e2-lang5）。"
"出外人","cut1-ghua3-lang5","外地來的人。"
"生分人","senn2-hun3-lang5","陌生人。"
"遮的攏總汝的","zia1-e2-long1-zong1-li1-e5","這些全部是你的。"
"遮的人","zia1-e2-lang5","這些人，又說“即寡人”（zit1-gua1-lang5）。"
"遮的物件","zia1-e2-mih3-giann2","這些東西。"
"這個人","ze1-e2-lang5",
"這是酒","ze1-si3-ziu4",
"買這着好","bhe1-ze1-diorh3-hor4","買這個就好。"
"這〔即〕款代誌","zit1-kuan1-dai3-zi3","這種事情。"
"這〔即〕陣","zit1-zun2","現在，又說（zit1-ma4）。"
"這〔即〕站","zit1-zam2","這陣子，又說“即站仔”（zit1-zam2-a4）。"
"這〔即〕搭","zit1-dah2","或“這搭仔”這裡，“即帶仔”（zit1-de1-a4）。"
"這〔即〕跡","zit1-riah2","這裡，又說“即位”（zit1-ui2）。"
"這〔即〕本冊","zit1-bun1-ceh2","這本書。"
"這仔〔遮〕無人坐","zia1-bhor2-lang2-ze2","這兒沒人坐。"
"這仔〔遮〕是啥所在？","zia1-si3-siann1-so1-zai2","這裡是什麼地方？"
"中學","diong2-(hak1/orh1)",
"中和","diong2-hor5","使失去酸性和鹼性。"
"中間","diong2-gan1","當中、兩者之間。"
"中古","diong2-go4","半舊不新。"
"中年","diong2-len5","四十歲代的年齡。"
"中立","diong2-lip1","不傾向任何一方。"
"中午","diong2-ngo4","與“中晝”（diong2-dau3）同。"
"中心","diong2-sim1","物-、地的正中央。"
"中旬","diong2-sun5","每月10～20日。"
"中等","diong2-ding4","上下等級之間。"
"中途","diong2-do5","半路。“半途”（buan4-do5）。"
"中央","diong2-(iong1/ng1)","中心部位。"
"中指","diong2-zainn4","手指正當中最長的那一枝。"
"中秋","diong2-ciu1","農曆八月十五日。"
"心中","sim2-diong1","心裡。"
"路中","lo3-diong1","途中。"
"時間中","si2-gan2-diong1","特定的時間內。"
"講話中","gong1-ue3-diong1","“電話講話中”（dian3-ue2-gong1-ue3-diong1）。"
"做中人","(zor4/zue4)-diong2-lang5","當仲介者、介紹人。"
"中風","diong4-hong1","腦溢血。"
"中傷","diong4-siong1","受傷，誣蔑他人。"
"中暑","diong4-su4","同“着痧”（diorh3-sua1）因空氣高溫欠水致病。"
"中毒","diong4-dok1","身體遭受毒質的感染或侵害。"
"中意","(diong4/ding4)-i3","合意。"
"中用","diong4-iong2","有用。“不中用”（but1-diong4-iong2）沒用處。"
"中聽","ding4-tiann1","聽起來滿意。又說“中人聽”（ding4-lang2-tiann1）。"
"中看","ding4-kuann3","看得順眼，又說“中人看”（ding4-lang2-kuann3）。"
"大寒","dai3-han5","口語音為（dua3-guann5）；文言音指24節氣之一，讀口語音是非常寒冷的意思。"
"大概","dai3-kai3","大凡、約計。"
"大會","dai3-hue2","盛大的集會。"
"大家","dai3-ge1","眾多的人、（dai3-ga1：望族、著名的專家）、又讀作（da2-ge1）時是婆婆的意思。"
"大局","dai3-giok1","大勢。"
"大軍","dai3-gun1","大量的軍隊。"
"大學","dai3-hak1","口語音作〔dua3-orh〕意同。"
"大先","dai3-sing1","事先、先前。又作“代先”、“在先”或“第先”。"
"大名","dai3-bhing5","口語音為〔dua3-mia5〕。"
"大人","dai3-rin5","舊時對長輩的敬詞，或對官吏、警察的稱呼，口語音為（dua3-lang5）指成人。"
"大約","dai3-iok2","大致的估計。"
"大理石","dai3-li1-ziorh1",
"大量","dai3-liong2","口語音（dua3-liong2）數量多。"
"大部份","dai3-bo3-hun2","口語音為（dua3-bo3-hun2）。"
"大多數","dai3-dor2-so3","口語音為（dua3-dor2-so3）極多數。"
"大黃","dai3-hong5","止瀉用藥。"
"大後日","dua3-au3-rit2","大後天，又說“落後日”（lorh3-au3-rit2）。"
"大賣","dua3-bhe2","批發。"
"大面神","dua3-bhin3-sin5","厚臉皮。"
"大伯","dua3-beh2","伯父。"
"大某〔或作姥〕","dua3-bho4","正妻。"
"大步","dua3-bo2","大伐（dua3-huah1）大步伐。"
"大漢","dua3-han3","大個子，長大。“-ghau-大漢”（ghau2-dua3-han3）長得快。"
"大後生","dua3-hau3-(senn1/sinn1)","長子，“大子”（dua3-giann4）。"
"大兄","dua3-hiann1","大哥、哥哥。"
"大箍","dua3-ko1","胖子，粗大。"
"大路","dua3-lo2","大路，闊綽。"
"大腹肚","dua3-bak1-do4","妊娠。"
"大辨〔範〕","dua3-ban2","大方、不俗氣。"
"大肥","dua3-bui5","人糞肥料。"
"大頭拇","dua3-tau2-bhor4","拇指。"
"大位","dua3-ui2","上座。"
"大心氣","dua3-sim2-kui3","喘不上氣來。"
"大粒","dua3-liap1","顆粒大的、或指權勢大的人（大粒的）。"
"大戲","dua3-hi3","大型戲曲。"
"大雨","dua3-ho2","粗大的雨。"
"大細","dua3-se3","尺寸的大小，大人和小孩。"
"大月","dua3-(ghueh1/gheh1)","陽曆有31日和陰曆有30日的月分。"
"大官虎","dua3-guann2-ho4","大官僚，舊時大官禍害人民如猛虎。"
"大舌","dua3-zih1","口吃。"
"大昨日","dua3-zorh3-rit2","大前天。"
"老大","lau1-dua2","兄妹中排行最大的。"
"序大人","si3-dua3-lang5","父母。"
"天大地大","tinn2-dua3-de3-dua2","天地般大。"
"為人","ui2-rin5","做人的態度。"
"為難","ui2-lan5","跟別人作對或刁難。"
"無能為力","bhu2-ling5-ui2-lik1",
"為首","ui2-siu4","帶頭。"
"人為","rin2-ui5","人力所為。"
"為所欲為","ui2-so4-iok3-ui5","想怎麼做就怎麼做。"
"有為","iu1-ui5","能幹、有能力“年輕有為”（lian2-king1-iu1-ui5）。"
"認為","rim3-ui5","以為，斷定。"
"成為","sing2-ui5","成了、變成。"
"作為","zok1-ui5","行為表現，讀（zorh1-ui5）則義為“當作”。"
"為-in-小弟","ui3-in2-sior1-di2","袒護他的弟弟、幫他弟弟。"
"為人民","ui3-rin2-bhin5",
"為什麼","ui3-sim1-mih2","詢問是什麼目的或原因。"
"為着","ui3-diorh1","為了…。"
"因為","in2-ui3","原因是。"
"上好","siong3-hor4","同“上蓋好”（siong3-gai4-hor4）最好。"
"上加","siong3-ge1","頂多。"
"上歡喜","siong3-huann2-hi4","頂高興。"
"上好勢","siong3-hor1-se3","頂合適。又說“上蓋好勢”。"
"上級","siong3-gip2","上司，上面的單位。"
"上課","siong3-kor3","參加授業。"
"上路尾","siong3-lo3-bhue4","最後。又“路尾手”後來。"
"上午","siong3-ngo4","一般指清晨到正午，又說（zai1-bo1）。"
"上旬","siong3-sun5","每月一日到十日。"
"上帝","siong3-de3","天帝，基督教稱所奉的神，英語的God，天神。"
"上司","siong3-si1","上級主管。-“頂司”（ding1-si1）。"
"上訴","siong3-so3","不服判決，再向上級法院提出訴訟。"
"上天","siong3-ten1","指上蒼、天神。"
"上目","ziunn3-bhak1","重視、上眼。"
"上學","ziunn3-orh1","進入學校唸書。"
"上去","ziunn2-ki0","由低處往高處，又說（起去ki4-ki0）。"
"上路","ziunn3-lo2","動身出發。"
"上任","ziunn3-rim2","就職。"
"上市","ziunn3-ci2","貨物在市場發售。"
"上車","ziunn3-cia1","搭上車。"
"上桶","ciunn3-tang4","吊桶。“上互高”（ciunn3-ho2-guan5）吊高起來。"
"上水","ciunn3-zui4","從井裡打水。"
"上青苔","ciunn3-(cenn2/cinn2)-di5","長蘚苔。"
"個人","gor4-rin5","一個人。"
